	1328573	1261432	1363008	1348500	1553550	1459754	1288069	1331586	1397750	1321542
	1268305	1125262	1176397	1161407	1126588	1348487	1102558	1113699	1098599	1157885
	1358909	1432907	1410649	1339185	1489147	1368042	1527557	1410119	1633475	1434304
	1308755	1415882	1285095	1342342	1300545	1966045	1899486	1419878	1817894	1449581
	1724075	1601451	1554821	1675238	1639872	1557967	1582865	1592251	1718691	1538212

	1446205	1615239	1524483	1893215	1426714	1381946	1343167	1478707	1342283	1483121
	1527786	1732328	1620180	1591976	1575950	1676763	1733771	1869194	1622916	1564193
	1530876	1312007	1426600	1448574	1306091	1389820	1492794	1454475	1319048	1422221
	1354363	1403760	1309460	1361090	1357512	1377070	1342312	1334799	1389235	1334809
	1761574	1904757	1734241	1732041	1858833	1787812	1781301	1801682	1725540	1869673
