	1300709	1284475	1513350	1232840	1272189	1354190	1346159	1330005	1331511	1261599
	1155586	1173558	1219448	1182781	1108583	1102027	1104750	1248933	1212008	1112382
	1389031	1335302	1528304	1442687	1631937	1371819	1431371	1541358	1520020	1428058
	1329896	1687819	1761416	1590656	1618356	1313389	1746484	1264247	1817909	1729147
	1529425	1684393	1548290	1546897	1769099	1525116	1703614	1613725	1651767	1567465

	1373931	1438407	1431824	1426417	1457426	1343525	1372549	1532964	1541763	1373744
	1609178	1543641	1770455	1669590	1541502	1775780	1591832	1718757	1610361	1657853
	1305645	1317206	1446576	1471456	1614950	1285357	1583042	1363991	1418248	1394872
	1415237	1410115	1581314	1361060	1428960	1344215	1296526	1572371	1389248	1412575
	1893084	1840747	1750738	1681141	1704600	1910961	1819526	1836184	2103195	1891621
