	1273229	1338798	1338990	1295194	1333331	1336565	1248492	1377733	1241238	1562367
	1136151	1103111	1176340	1215143	1281173	1169704	1151186	1155676	1241246	1087277
	1494701	1530546	1409346	1532224	1391983	1437484	1487962	1443929	1359752	1398479
	1682204	1371391	1781732	1771384	1834060	1797499	1790406	1713258	1811023	1295631
	1580365	1620689	1670644	1577250	1598230	1583214	1692629	1599307	1601949	1675760

	1453952	1461038	1505662	1377046	1359708	1407019	1486309	1381757	1363451	1522191
	1797073	1612849	1637079	1640210	1622831	1708722	1697223	1632930	1514208	1804210
	1596335	1400289	1449901	1373552	1551543	1392290	1335403	1283205	1597486	1338983
	1403416	1491585	1329642	1360890	1382785	1746423	1280510	1645034	1372367	1444543
	1713657	1815225	1696229	1767451	1743420	1711889	2007600	1783185	1782240	1765400
