1338632	1177272	1486452	1378911	1889421		1396924	1558408	1411816	1647029	1881473
1335060	1101587	1426726	1710458	1611093		1449264	1769965	1424677	1446684	1714744
1631478	1187051	1409739	1611206	1498097		1363428	1604204	1337403	1383875	1804711
1314368	1383478	1554704	1784164	1606706		1371213	1561417	1479227	1646484	1807058
1267823	1121142	1439180	1620876	1693981		1498217	1554336	1367792	1376814	1769954
1381083	1108547	1563757	1654715	1702360		1439291	1823485	1553045	1400782	2189753
1315377	1228611	1408111	1479268	1571404		1471717	1554083	1297852	1609900	1796449
1335286	1139794	1475710	1564094	1593002		1378407	1662415	1340960	1470717	1853960
1435569	1129017	1401094	1488693	1759207		1708850	1827428	1442654	1401014	1696924
1238242	1118775	1433381	1750337	1590213		1470129	1584436	1281474	1625544	1772302






















