	1593555	1478091	1426839	1293726	1446431	1446828	1303452	1421222	1313311	1349023
	1267014	1181280	1120277	1105177	1338714	1109529	1173920	1121688	1377528	1122202
	1649296	1404249	1386363	1540269	1429200	1387454	1584016	1515208	1478785	1550436
	1344699	1559800	1335735	1275650	1271504	1574682	1464107	1626809	1348825	1680963
	1777064	1871316	1688172	2065169	1752455	1792234	1626330	2434473	1581591	1634030

	1408877	1555433	1623228	1410264	1460855	1406544	1510276	1478668	1540833	1448511
	1819975	1570611	1577905	1613430	1577369	1806333	1662622	1609000	1861681	1605392
	1332631	1429888	1325769	1439021	1363607	1432522	1372261	1350753	1302731	1403954
	1435740	1485121	1439495	1503783	1312538	1485832	1357169	1389691	1335208	1680694
	1858208	1726131	1917528	1732260	1766444	1834532	1837037	1752641	1843561	1858830
